"occurrence_no","record_type","reid_no","flags","collection_no","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"754353","occ","","","79180","Psilopterus colzecus","species","181128","Late Miocene","","11.608","5.333","27152"
"769454","occ","","","82260","Puffinus lherminieri","species","83375","Holocene","","0.0117","0","27720"
"769455","occ","","","82260","Pterodroma cahow","species","129861","Holocene","","0.0117","0","27720"
"769456","occ","","","82260","Phaethon lepturus","species","129864","Holocene","","0.0117","0","27720"
"788011","occ","","","85116","Leptoptilos patagonicus","species","136811","Late Miocene","","11.608","5.333","28618"
"788528","occ","","","85172","Taubatornis campbelli","species","137168","Late Oligocene","Early Miocene","28.4","15.97","28662"
"788625","occ","","","85201","Hoazinoides magdalenae","species","137212","Late Miocene","","11.608","5.333","28674"
"801753","occ","","","87198","Argentavis magnificens","species","137174","Huayquerian","","9","6.8","29353"
"801802","occ","","","87200","Argentavis magnificens","species","137174","Huayquerian","","9","6.8","29353"
"801803","occ","","","87201","Argentavis magnificens","species","137174","Huayquerian","","9","6.8","29353"
"810646","occ","","","71303","Phalacrocorax brasilianus","species","53349","Lujanian","","0.781","0.012","29788"
"810647","occ","","","27313","Patagornis marshi","species","53566","Middle Miocene","","15.97","11.608","29788"
"810648","occ","","","13503","Palaeociconia australis","species","146055","Montehermosan","","6.8","4","29788"
"810649","occ","","","88834","Brontornis burmeisteri","species","53587","Middle Miocene","","15.97","11.608","29788"
"810650","occ","","","27313","Brontornis burmeisteri","species","53587","Middle Miocene","","15.97","11.608","29788"
"810651","occ","","","66154","Brontornis burmeisteri","species","53587","Early Miocene","","23.03","15.97","29788"
"810652","occ","","","27313","Phorusrhacos longissimus","species","53570","Middle Miocene","","15.97","11.608","29788"
"810653","occ","","","27313","Phorusrhacos longissimus","species","53570","Middle Miocene","","15.97","11.608","29788"
"810654","occ","","","66154","Phorusrhacos longissimus","species","53570","Early Miocene","","23.03","15.97","29788"
"810655","occ","","","66154","Phorusrhacos longissimus","species","53570","Early Miocene","","23.03","15.97","29788"
"810656","occ","","","27313","Phorusrhacos longissimus","species","53570","Middle Miocene","","15.97","11.608","29788"
"810657","occ","","","13503","Mesembriornis milneedwardsi","species","146059","Montehermosan","","6.8","4","29788"
"810658","occ","","","27313","Patagornis marshi","species","53566","Middle Miocene","","15.97","11.608","29788"
"810659","occ","","","66154","Psilopterus lemoinei","species","146060","Early Miocene","","23.03","15.97","29788"
"810660","occ","","","27313","Psilopterus bachmanni","species","146061","Middle Miocene","","15.97","11.608","29788"
"810661","occ","","","13503","Dryornis pampeanus","species","146063","Montehermosan","","6.8","4","29788"
"810662","occ","","","27313","Phorusrhacos longissimus","species","53570","Middle Miocene","","15.97","11.608","29788"
"810663","occ","","","27313","Phorusrhacos longissimus","species","53570","Middle Miocene","","15.97","11.608","29788"
"810664","occ","","","27313","Phorusrhacos longissimus","species","53570","Middle Miocene","","15.97","11.608","29788"
"810665","occ","","","27313","Phorusrhacos longissimus","species","53570","Middle Miocene","","15.97","11.608","29788"
"810666","occ","","","27313","Phorusrhacos longissimus","species","53570","Middle Miocene","","15.97","11.608","29788"
"810667","occ","","","71303","Lagopterus minutus","species","146066","Lujanian","","0.781","0.012","29788"
"810668","occ","","","13503","Foetopterus ambiguus","species","146068","Montehermosan","","6.8","4","29788"
"810670","occ","","","27313","Psilopterus bachmanni","species","146061","Middle Miocene","","15.97","11.608","29788"
"810671","occ","","","27313","Psilopterus lemoinei","species","146060","Middle Miocene","","15.97","11.608","29788"
"810672","occ","","","27313","Psilopterus bachmanni","species","146061","Middle Miocene","","15.97","11.608","29788"
"811462","occ","","","89030","Falconidae","family","39317","Early Miocene","","23.03","15.97","29860"
"811688","occ","","","89093","Psilopteridae","family","134480","Early Miocene","","23.03","15.97","29898"
"823312","occ","","","90684","Puffinus lherminieri","species","83375","Holocene","","0.0117","0","30514"
"823313","occ","","","90684","Pterodroma cahow","species","129861","Holocene","","0.0117","0","30514"
"837019","occ","","","92812","Tyto","genus","39409","Late Pleistocene","","0.126","0.0117","31330"
"851038","occ","","","18755","Phoenicopterus stocki","species","164290","Late Hemphillian","","10.3","4.9","32223"
"851044","occ","","","94615","Zenaida","genus","161741","Holocene","","0.0117","0","32225"
"851045","occ","","","94615","Columbina","genus","289995","Holocene","","0.0117","0","32225"
"851058","occ","","","94615","Puffinus","genus","39702","Holocene","","0.0117","0","32225"
"851059","occ","","","94615","Porzana","genus","94495","Holocene","","0.0117","0","32225"
"851060","occ","","","94615","Athene","genus","94499","Holocene","","0.0117","0","32225"
"851067","occ","","","94616","Puffinus","genus","39702","Holocene","","0.0117","0","32225"
"851068","occ","","","94616","Porphyrula","genus","83793","Holocene","","0.0117","0","32225"
"858933","occ","","","95373","Sulidae","family","39676","Middle Miocene","","15.97","11.608","32455"
"880311","occ","","","97648","Puffinus","genus","39702","Late Pliocene","","3.6","2.588","33341"
"897341","occ","","","99479","Ardeidae","family","39541","Middle Eocene","Late Eocene","48.6","33.9","34241"
"899309","occ","","","100171","Thalassarche","genus","143740","Middle Miocene","","15.97","11.608","34369"
"899317","occ","","","100174","Phalacrocorax","genus","39689","Late Pliocene","","3.6","2.588","34371"
"899318","occ","","","100174","Milvago","genus","289541","Late Pliocene","","3.6","2.588","34371"
"899332","occ","","","100178","Diomedeidae","family","39692","Miocene","Pliocene","23.03","2.588","34372"
"978557","occ","","","96800","Sula","genus","36639","Tortonian","","11.62","7.246","37592"
"978558","occ","","","96800","Phalacrocorax","genus","39689","Tortonian","","11.62","7.246","37592"
"984919","occ","","","52183","Sula","genus","36639","Langhian","","15.97","13.82","37939"
"984920","occ","","","52183","Diomedea","genus","39693","Langhian","","15.97","13.82","37939"
"984921","occ","","","52183","Morus","genus","39679","Langhian","","15.97","13.82","37939"
"986426","occ","","","118314","Eutreptodactylus itaboraiensis","species","202891","Late Paleocene","Early Eocene","58.7","48.6","38103"
"998100","occ","","","120884","Phorusrhacidae","family","39461","Middle Pleistocene","Late Pleistocene","0.781","0.0117","38600"
"998877","occ","","","121126","Puffinus tedfordi","species","206576","Zanclean","","5.333","3.6","38651"
"998878","occ","","","121126","Puffinus","genus","39702","Zanclean","","5.333","3.6","38651"
"998880","occ","","","13090","Megapaloelodus opsigonus","species","229906","Messinian","","7.246","5.333","38651"
"1000845","occ","","","118314","Itaboravis elaphrocnemoides","species","207706","Late Paleocene","Early Eocene","58.7","48.6","38768"
"1002407","occ","","","122031","Psilopteridae","family","134480","Middle Miocene","Late Miocene","15.97","5.333","38839"
"1002408","occ","","","122031","Accipitridae","family","39323","Middle Miocene","Late Miocene","15.97","5.333","38839"
"1002848","occ","","","122079","Psilopteridae","family","134480","Middle Miocene","Late Miocene","15.97","5.333","38839"
"1019109","occ","","","46083","Fulmarus","genus","39698","Messinian","","7.246","5.333","40374"
"1029425","occ","","","52183","Puffinus","genus","39702","Langhian","","15.97","13.82","40942"
"1073789","occ","","","118314","Paleopsilopterus itaboraiensis","species","181132","Late Paleocene","Early Eocene","58.7","48.6","38164"
"1094084","occ","","","136717","Phorusrhacinae","subfamily","181133","Late Miocene","","11.608","5.333","44102"
"1111604","occ","","","140805","Psittacidae","family","39358","Lujanian","","0.781","0.012","45666"
"1111606","occ","","","140805","Colaptes","genus","129806","Lujanian","","0.781","0.012","45666"
"1124775","occ","32103","","142529","Phorusrhacos longissimus","species","53570","Early Miocene","","23.03","15.97","58178"
"1124801","occ","","","142533","Phorusrhacos longissimus","species","53570","Early Miocene","","23.03","15.97","46189"
"1132381","occ","","","144133","Rallus longirostris","species","336066","Holocene","","0.0117","0","46614"
"1132390","occ","","","144134","Corvus","genus","39446","Holocene","","0.0117","0","46614"
"1132391","occ","","","144134","Eudocimus","genus","39565","Holocene","","0.0117","0","46614"
"1135678","occ","","","144662","Nyctanassa violacea","species","289715","Holocene","","0.0117","0","46815"
"1135679","occ","","","144662","Eudocimus","genus","39565","Holocene","","0.0117","0","46815"
"1135680","occ","","","144662","Pandion","genus","39329","Holocene","","0.0117","0","46815"
"1135681","occ","","","144662","Accipiter","genus","94492","Holocene","","0.0117","0","46815"
"1135682","occ","","","144662","Caracara creightoni","species","290140","Holocene","","0.0117","0","46815"
"1135683","occ","","","144662","Columba","genus","39354","Holocene","","0.0117","0","46815"
"1135684","occ","","","144662","Zenaida","genus","161741","Holocene","","0.0117","0","46815"
"1135686","occ","","","144662","Tyto","genus","39409","Holocene","","0.0117","0","46815"
"1135687","occ","","","144662","Passeriformes","order","39441","Holocene","","0.0117","0","46815"
"1135733","occ","","","144663","Puffinus lherminieri","species","83375","Holocene","","0.0117","0","46815"
"1135734","occ","","","144663","Nyctanassa violacea","species","289715","Holocene","","0.0117","0","46815"
"1135735","occ","","","144663","Eudocimus","genus","39565","Holocene","","0.0117","0","46815"
"1135736","occ","","","144663","Pandion","genus","39329","Holocene","","0.0117","0","46815"
"1135737","occ","","","144663","Accipiter","genus","94492","Holocene","","0.0117","0","46815"
"1135738","occ","","","144663","Falco sparverius","species","133779","Holocene","","0.0117","0","46815"
"1135739","occ","","","144663","Rallus","genus","39537","Holocene","","0.0117","0","46815"
"1135741","occ","","","144663","Columba","genus","39354","Holocene","","0.0117","0","46815"
"1135742","occ","","","144663","Zenaida","genus","161741","Holocene","","0.0117","0","46815"
"1135744","occ","","","144663","Tyto","genus","39409","Holocene","","0.0117","0","46815"
"1135745","occ","","","144663","Athene","genus","94499","Holocene","","0.0117","0","46815"
"1135746","occ","","","144663","Colaptes","genus","129806","Holocene","","0.0117","0","46815"
"1135747","occ","","","144663","Contopus","genus","129825","Holocene","","0.0117","0","46815"
"1135748","occ","","","144663","Petrochelidon","genus","129830","Holocene","","0.0117","0","46815"
"1135751","occ","","","144663","Spizella","genus","289528","Holocene","","0.0117","0","46815"
"1135753","occ","","","144663","Sturnella","genus","130726","Holocene","","0.0117","0","46815"
"1135754","occ","","","144663","Passeriformes","order","39441","Holocene","","0.0117","0","46815"
"1145194","occ","","","145811","Psilopteridae","family","134480","Middle Miocene","","15.97","11.608","47156"
"1180256","occ","","","152062","Chunga","genus","39457","Montehermosan","","6.8","4","48757"
"1180290","occ","","","152064","Chunga","genus","39457","Montehermosan","","6.8","4","48757"
"1180416","occ","","","152081","Mesembriornis milneedwardsi","species","146059","Early Pliocene","","5.333","3.6","48790"
"1180417","occ","","","152081","Chunga","genus","39457","Early Pliocene","","5.333","3.6","48790"
"1180506","occ","","","152085","Mesembriornis milneedwardsi","species","146059","Early Pliocene","","5.333","3.6","48790"
"1183566","occ","","","152599","Falco","genus","39319","Pleistocene","","2.588","0.0117","48919"
"1183567","occ","","","152599","Caracara plancus","species","289546","Pleistocene","","2.588","0.0117","48919"
"1183570","occ","","","152599","Milvago","genus","289541","Pleistocene","","2.588","0.0117","48919"
"1183572","occ","","","152599","Buteo","genus","39325","Pleistocene","","2.588","0.0117","48919"
"1183573","occ","","","152599","Buteo","genus","39325","Pleistocene","","2.588","0.0117","48919"
"1183574","occ","","","152599","Circus","genus","146037","Pleistocene","","2.588","0.0117","48919"
"1183577","occ","","","152599","Zenaida","genus","161741","Pleistocene","","2.588","0.0117","48919"
"1183578","occ","","","152599","Columbina","genus","289995","Pleistocene","","2.588","0.0117","48919"
"1183580","occ","","","152599","Speotyto cunicularia","species","289512","Pleistocene","","2.588","0.0117","48919"
"1186250","occ","","","152599","Nycticorax","genus","39548","Pleistocene","","2.588","0.0117","48919"
"1186254","occ","","","152599","Geranoaetus","genus","105723","Pleistocene","","2.588","0.0117","48919"
"1186255","occ","","","152599","Falco","genus","39319","Pleistocene","","2.588","0.0117","48919"
"1186279","occ","","","152599","Zenaida","genus","161741","Pleistocene","","2.588","0.0117","48919"
"1186280","occ","","","152599","Tyto alba","species","94500","Pleistocene","","2.588","0.0117","48919"
"1196695","occ","","","71346","Syrigma sanctimartini","species","289764","Late Pleistocene","","0.126","0.0117","50354"
"1196696","occ","","","71346","Theristicus wetmorei","species","289767","Late Pleistocene","","0.126","0.0117","50354"
"1196697","occ","","","71346","Eudocimus peruvianus","species","289768","Late Pleistocene","","0.126","0.0117","50354"
"1196698","occ","","","71346","Milvago brodkorbi","species","289782","Late Pleistocene","","0.126","0.0117","50354"
"1196705","occ","","","71346","Caprimulgus piurensis","species","289797","Late Pleistocene","","0.126","0.0117","50354"
"1196713","occ","","","71346","Miraquila terrestris","species","289779","Late Pleistocene","","0.126","0.0117","50354"
"1196714","occ","","","71346","Amplibuteo hibbardi","species","289749","Late Pleistocene","","0.126","0.0117","50354"
"1196716","occ","","","71346","Podiceps","genus","39553","Late Pleistocene","","0.126","0.0117","50354"
"1196717","occ","","","71346","Podilymbus podiceps","species","133770","Late Pleistocene","","0.126","0.0117","50354"
"1196718","occ","","","71346","Phalacrocorax","genus","39689","Late Pleistocene","","0.126","0.0117","50354"
"1196719","occ","","","71346","Phalacrocorax bougainvillii","species","90130","Late Pleistocene","","0.126","0.0117","50354"
"1196720","occ","","","71346","Ardea","genus","39542","Late Pleistocene","","0.126","0.0117","50354"
"1196722","occ","","","71346","Egretta","genus","142800","Late Pleistocene","","0.126","0.0117","50354"
"1196723","occ","","","71346","Egretta","genus","142800","Late Pleistocene","","0.126","0.0117","50354"
"1196724","occ","","","71346","Nycticorax","genus","39548","Late Pleistocene","","0.126","0.0117","50354"
"1196725","occ","","","71346","Eudocimus","genus","39565","Late Pleistocene","","0.126","0.0117","50354"
"1196726","occ","","","71346","Ajaia","genus","289978","Late Pleistocene","","0.126","0.0117","50354"
"1196727","occ","","","71346","Jabiru mycteria","species","289721","Late Pleistocene","","0.126","0.0117","50354"
"1196728","occ","","","71346","Mycteria","genus","229491","Late Pleistocene","","0.126","0.0117","50354"
"1196737","occ","","","71346","Geranoaetus","genus","105723","Late Pleistocene","","0.126","0.0117","50354"
"1196738","occ","","","71346","Buteo","genus","39325","Late Pleistocene","","0.126","0.0117","50354"
"1196739","occ","","","71346","Buteo","genus","39325","Late Pleistocene","","0.126","0.0117","50354"
"1196741","occ","","","71346","Falco","genus","39319","Late Pleistocene","","0.126","0.0117","50354"
"1196742","occ","","","71346","Falco","genus","39319","Late Pleistocene","","0.126","0.0117","50354"
"1196743","occ","","","71346","Falco sparverius","species","133779","Late Pleistocene","","0.126","0.0117","50354"
"1196744","occ","","","71346","Falco","genus","39319","Late Pleistocene","","0.126","0.0117","50354"
"1196745","occ","","","71346","Caracara plancus","species","289546","Late Pleistocene","","0.126","0.0117","50354"
"1196747","occ","","","71346","Porzana","genus","94495","Late Pleistocene","","0.126","0.0117","50354"
"1196771","occ","","","71346","Zenaida","genus","161741","Late Pleistocene","","0.126","0.0117","50354"
"1196772","occ","","","71346","Zenaida","genus","161741","Late Pleistocene","","0.126","0.0117","50354"
"1196773","occ","","","71346","Columbina","genus","289995","Late Pleistocene","","0.126","0.0117","50354"
"1196774","occ","","","71346","Columbina","genus","289995","Late Pleistocene","","0.126","0.0117","50354"
"1196776","occ","","","71346","Tyto alba","species","94500","Late Pleistocene","","0.126","0.0117","50354"
"1196777","occ","","","71346","Bubo virginianus","species","161526","Late Pleistocene","","0.126","0.0117","50354"
"1196778","occ","","","71346","Speotyto cunicularia","species","289512","Late Pleistocene","","0.126","0.0117","50354"
"1196779","occ","","","71346","Asio flammeus","species","161529","Late Pleistocene","","0.126","0.0117","50354"
"1196799","occ","","","154780","Aegolius gradyi","species","289805","Late Pleistocene","","0.126","0.0117","50359"
"1196800","occ","","","154781","Rallus recessus","species","289806","Late Pleistocene","","0.126","0.0117","50360"
"1196801","occ","","","144649","Buteo lineatus","species","129164","Pleistocene","","2.588","0.0117","50361"
"1198112","occ","","","144649","Buteo lineatus","species","129164","Pleistocene","","2.588","0.0117","50474"
"1198113","occ","","","144649","Caracara creightoni","species","290140","Pleistocene","","2.588","0.0117","50474"
"1198115","occ","","","144649","Columba","genus","39354","Pleistocene","","2.588","0.0117","50474"
"1198116","occ","","","144649","Columba","genus","39354","Pleistocene","","2.588","0.0117","50474"
"1198117","occ","","","144649","Zenaida","genus","161741","Pleistocene","","2.588","0.0117","50474"
"1198119","occ","","","144649","Tyto","genus","39409","Pleistocene","","2.588","0.0117","50474"
"1198120","occ","","","144649","Tyto alba","species","94500","Pleistocene","","2.588","0.0117","50474"
"1198121","occ","","","144649","Glaucidium dickinsoni","species","290142","Pleistocene","","2.588","0.0117","50474"
"1198122","occ","","","144649","Otus providentiae","species","290143","Pleistocene","","2.588","0.0117","50474"
"1198123","occ","","","144649","Bathoceleus hyphalus","species","290145","Pleistocene","","2.588","0.0117","50474"
"1198124","occ","","","144649","Melanerpes","genus","129810","Pleistocene","","2.588","0.0117","50474"
"1198125","occ","","","144649","Corvus wetmorei","species","290146","Pleistocene","","2.588","0.0117","50474"
"1198255","occ","","","20495","Agelaius phoeniceus","species","129845","Rancholabrean","","0.3","0.012","50490"
"1198256","occ","","","20495","Xanthocephalus xanthocephalus","species","161532","Rancholabrean","","0.3","0.012","50490"
"1198257","occ","","","20495","Euphagus","genus","83665","Rancholabrean","","0.3","0.012","50490"
"1198258","occ","","","20495","Quiscalus mexicanus","species","289536","Rancholabrean","","0.3","0.012","50490"
"1198259","occ","","","20495","Pandanaris convexa","species","290205","Rancholabrean","","0.3","0.012","50490"
"1198260","occ","","","20495","Molothrus ater","species","129847","Rancholabrean","","0.3","0.012","50490"
"1198261","occ","","","20495","Molothrus","genus","129846","Rancholabrean","","0.3","0.012","50490"
"1198262","occ","","","20495","Icterus","genus","145636","Rancholabrean","","0.3","0.012","50490"
"1199271","occ","","","155059","Puffinus lherminieri","species","83375","Late Pleistocene","Holocene","0.126","0","50557"
"1199275","occ","","","155059","Buteo jamaicensis","species","129161","Late Pleistocene","Holocene","0.126","0","50557"
"1199276","occ","","","155059","Fulica podagrica","species","290689","Late Pleistocene","Holocene","0.126","0","50557"
"1199293","occ","","","71320","Aechmophorus occidentalis","species","161509","Pleistocene","","2.588","0.0117","50558"
"1199294","occ","","","71320","Podiceps","genus","39553","Pleistocene","","2.588","0.0117","50558"
"1199295","occ","","","71320","Phoenicopterus copei","species","335545","Pleistocene","","2.588","0.0117","50558"
"1199297","occ","","","71320","Fulica americana","species","186246","Pleistocene","","2.588","0.0117","50558"
"1232000","occ","","","162173","Phalacrocorax","genus","39689","Holocene","","0.0117","0","52810"
"1234808","occ","","","162545","Fulmarus glacialis","species","335291","Holocene","","0.0117","0","52940"
"1259305","occ","","","46084","Sula","genus","36639","Messinian","","7.246","5.333","54566"
"1259306","occ","","","45485","Sula","genus","36639","Tortonian","","11.62","7.246","54566"
"1259307","occ","","","46084","Sula magna","species","316534","Messinian","","7.246","5.333","54566"
"1259308","occ","","","46084","Sula sulita","species","316535","Messinian","","7.246","5.333","54566"
"1259309","occ","","","45486","Sula","genus","36639","Tortonian","","11.62","7.246","54566"
"1259310","occ","","","46084","Morus peruvianus","species","316536","Messinian","","7.246","5.333","54566"
"1280506","occ","","","169983","Podiceps caspicus","species","321720","Pleistocene","","2.588","0.0117","55473"
"1280507","occ","","","169983","Aechmophorus occidentalis","species","161509","Pleistocene","","2.588","0.0117","55473"
"1280508","occ","","","169983","Podilymbus podiceps","species","133770","Pleistocene","","2.588","0.0117","55473"
"1280509","occ","","","169983","Phalacrocorax goletensis","species","229488","Pleistocene","","2.588","0.0117","55473"
"1280510","occ","","","169983","Phalacrocorax chapalensis","species","321722","Pleistocene","","2.588","0.0117","55473"
"1280511","occ","","","169983","Anhinga anhinga","species","321724","Pleistocene","","2.588","0.0117","55473"
"1280512","occ","","","169983","Tigrisoma","genus","99084","Pleistocene","","2.588","0.0117","55473"
"1280518","occ","","","169983","Sturnella","genus","130726","Pleistocene","","2.588","0.0117","55473"
"1289476","occ","","","172172","Pelecaniformes","order","36634","Tortonian","","11.62","7.246","55908"
"1309837","occ","","","38879","Psilopteridae","family","134480","Middle Eocene","Late Eocene","48.6","33.9","57566"
"1314355","occ","","","176342","Phalacrocorax goletensis","species","229488","Hemphillian","Blancan","10.3","1.8","57976"
"1315065","occ","","","176466","Andrewsornis","genus","39464","Deseadan","","29","21","58076"
"1315069","occ","","","176470","Phorusrhacidae","family","39461","Deseadan","","29","21","58080"
"1315176","occ","","","176488","Devincenzia gallinali","species","181150","Deseadan","","29","21","58093"
"1315674","occ","","","176597","Brontornis burmeisteri","species","53587","Santacrucian","","17.5","16.3","58178"
"1315677","occ","","","27313","Protibis","genus","336907","Middle Miocene","","15.97","11.608","58178"
"1315678","occ","","","176598","Psilopterus bachmanni","species","146061","Santacrucian","","17.5","16.3","58178"
"1315679","occ","","","176589","Psilopterus lemoinei","species","146060","Santacrucian","","17.5","16.3","58178"
"1315680","occ","","","176578","Psilopterus lemoinei","species","146060","Santacrucian","","17.5","16.3","58178"
"1315681","occ","","","176565","Badiostes patagonicus","species","53649","Santacrucian","","17.5","16.3","58178"
"1315682","occ","","","142533","Thegornis debilis","species","53648","Early Miocene","","23.03","15.97","58178"
"1315684","occ","","","27313","Anisolornis","genus","336906","Middle Miocene","","15.97","11.608","58178"
"1315685","occ","","","27313","Liptornis hesternus","species","53644","Middle Miocene","","15.97","11.608","58178"
"1315686","occ","","","27313","Opisthodactylus patagonicus","species","246678","Middle Miocene","","15.97","11.608","58178"
"1315687","occ","","","176602","Cariama santacrucensis","species","336928","Santacrucian","","17.5","16.3","58178"
"1315688","occ","","","176602","Cariaminae","subfamily","336926","Santacrucian","","17.5","16.3","58178"
